Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds)
1,217,204,94.01%,13,0:00:17,0:02:14,0:02:45,76.28%
2,200,182,91.00%,18,0:00:20,0:02:22,0:06:55,72.73%
3,216,198,91.67%,18,0:00:18,0:02:38,0:03:50,74.30%
4,155,145,93.55%,10,0:00:15,0:02:29,0:03:12,79.61%
5,37,37,100.00%,0,0:00:03,0:02:06,0:00:35,97.30%
6,315,304,96.51%,11,0:00:18,0:01:35,0:02:37,77.17%
7,252,244,96.83%,8,0:00:13,0:01:50,0:02:02,82.00%
8,213,205,96.24%,8,0:00:10,0:02:10,0:03:22,88.10%
9,219,200,91.32%,19,0:00:15,0:02:18,0:06:12,79.45%
10,371,348,93.80%,23,0:00:19,0:01:40,0:03:29,73.63%
11,166,164,98.80%,2,0:00:12,0:02:10,0:02:46,81.33%
12,32,32,100.00%,0,0:00:02,0:02:03,0:00:03,100.00%
13,231,222,96.10%,9,0:00:08,0:01:49,0:02:18,86.46%
14,205,197,96.10%,8,0:00:07,0:01:52,0:02:48,92.61%
15,338,313,92.60%,25,0:00:13,0:01:51,0:03:40,80.06%
16,180,174,96.67%,6,0:00:13,0:02:18,0:03:26,83.80%
17,226,211,93.36%,15,0:00:20,0:02:04,0:04:53,76.23%
18,226,212,93.81%,14,0:00:10,0:02:03,0:02:45,84.44%
19,45,44,97.78%,1,0:00:02,0:02:04,0:00:55,97.78%
20,218,194,88.99%,24,0:00:26,0:02:43,0:06:28,68.98%
21,187,174,93.05%,13,0:00:15,0:02:16,0:04:39,81.52%
22,191,184,96.34%,7,0:00:10,0:02:09,0:03:40,85.64%
23,188,174,92.55%,14,0:00:15,0:02:25,0:03:09,76.88%
24,154,148,96.10%,6,0:00:10,0:02:27,0:03:36,85.06%
25,166,150,90.36%,16,0:00:18,0:02:26,0:04:38,76.83%
26,58,57,98.28%,1,0:00:04,0:02:26,0:00:58,94.83%
27,160,153,95.63%,7,0:00:10,0:02:23,0:02:45,84.91%
28,86,79,91.86%,7,0:00:32,0:02:43,0:04:40,61.63%
29,180,170,94.44%,10,0:00:23,0:02:31,0:05:45,77.53%
30,210,192,91.43%,18,0:00:26,0:02:16,0:05:35,67.46%
31,163,157,96.32%,6,0:00:14,0:02:19,0:02:55,81.37%
32,143,140,97.90%,3,0:00:15,0:02:20,0:04:43,82.52%
33,57,55,96.49%,2,0:00:06,0:02:03,0:01:50,91.23%
34,179,172,96.09%,7,0:00:13,0:02:17,0:03:23,82.49%
35,194,184,94.85%,10,0:00:24,0:02:24,0:03:19,70.10%
36,201,196,97.51%,5,0:00:15,0:02:16,0:04:53,81.59%
37,218,189,86.70%,29,0:00:32,0:02:37,0:08:04,57.41%
38,194,190,97.94%,4,0:00:16,0:02:22,0:02:02,81.77%
39,227,219,96.48%,8,0:00:15,0:02:44,0:03:55,83.63%
40,52,52,100.00%,0,0:00:09,0:02:16,0:00:52,94.23%
41,385,370,96.10%,15,0:00:20,0:02:11,0:03:10,76.19%
42,137,130,94.89%,7,0:00:16,0:02:26,0:09:47,75.91%
43,254,252,99.21%,2,0:00:10,0:02:08,0:01:10,91.34%
44,211,206,97.63%,5,0:00:11,0:02:24,0:04:37,87.14%
45,282,279,98.94%,3,0:00:07,0:02:18,0:01:11,93.21%
46,262,260,99.24%,2,0:00:08,0:02:31,0:01:13,90.80%
